time,connetion,conection_data,Is_heart_beat,heart_rate,Is_beat_span,beat_span,Is_Valid
22:37:57:549902,TRUE,326,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:550903,TRUE,326,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:652903,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:653903,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:653903,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:754903,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:754903,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:755903,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:859902,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:859902,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:967530,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:967530,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:57:967530,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:072577,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:072577,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:072577,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:178577,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:181577,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:184577,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:282584,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:283585,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:363584,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:363584,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:363584,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:494591,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:494591,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:495583,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:599591,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:599591,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:600584,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:678635,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:679635,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:680633,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:807763,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:808762,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:913141,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:914141,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:916145,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:992139,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:995141,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:58:998146,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:123219,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:125222,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:126217,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:205243,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:208243,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:308282,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:308282,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:309276,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:414465,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:415460,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:416460,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
